Region,Region2,Country,Policy Level,Province,Policy Type,Key policy measures and targets,Category,Year
Central and South America,Rest of the World,Colombia,National,,Legislation,"EV motor taxes are capped at 1% of the vehicle's commercial value, and EVs are exempt from any vehicle circulation restrictions.",Taxation,2019
Central and South America,Rest of the World,Colombia,National,,Legislation,"A national minimum share of 30% EVs for new public buses purchased or rented by 2025, while city bus fleets must ensure that 10% of new buses are EVs in 2025, rising every two years up to to
100% by 2035.",Bus,2019
Central and South America,Rest of the World,Colombia,National,,Legislation,"Minimum EV charging infrastructure requirements specify a minimum of 5 charging stations in all
Special Category municipalities and 20 stations by 2022 in Bogotá.",EVSE,2019
Central and South America,Rest of the World,Colombia,National,,Legislation,Minimum EV purchase quota of 30% for public service fleets by 2025.,Bus,2019
Central and South America,Rest of the World,Colombia,National,,Ambition,600 000 EV stock (i.e. registrations) across all modes by 2030.,Multiple,2019
Central and South America,Rest of the World,Costa Rica,National,,Ambition,"25% of the fleet should be electric by 2035, 60% by 2050, and 100% of new sales by 2050.",LDV,2018
Central and South America,Rest of the World,Costa Rica,National,,Ambition,"70% of buses to be zero-emissions by 2035, 100% by 2050.",Bus,2018
Central and South America,Rest of the World,Costa Rica,National,,Ambition,"70% of taxis to be zero-emissions by 2035, 100% by 2050.",LDV,2018
Central and South America,Rest of the World,Costa Rica,National,,Legislation,Tax exemptions and reductions when purchasing an EV.,Taxation,2017
Central and South America,Rest of the World,Costa Rica,National,,Ambition,At least 50% of cargo to be highly efficient by 2050.,M/HDV,2018
Central and South America,Rest of the World,Costa Rica,National,,Ambition,"By 2050, 60% of the fleet of light vehicles (private and institutional) will be zero emissions.",LDV,2018
Europe,Europe,Croatia,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022
Europe,Europe,Croatia,National,,Proposal,Grants available for alternatively fuelled trucks.,M/HDV,2023
Europe,Europe,Croatia,National,,Legislation,First vehicle tax calculated as a function of CO2 emissions (g/km).,Taxation,2022
Europe,Europe,Croatia,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Cuba,National,,Ambition,"45% of the total vehicle fleet in the country's state sector to be electric, and 38 000 charging points to be installed by 2030.",Multiple,2021
Central and South America,Rest of the World,Curaçao,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022
Europe,Europe,Cyprus,National,,Legislation,A tax is imposed upon the registration of new vehicles as a function of CO2 emissions.,Taxation,2022
Europe,Europe,Cyprus,National,,Legislation,Grants towards the purchase of a new ZEV M2 class bus.,Bus,2023
Europe,Europe,Cyprus,National,,Legislation,EUR 400 - 4 000 towards a new electric two/three-wheeler.,2/3W,2023
Europe,Europe,Cyprus,National,,Legislation,"Grants towards the purchase of new or used EVs, can be combined with a scrappage scheme, higher rates apply to taxis, disabled persons, ZEVs, and large family cars.",LDV,2023
Europe,Europe,Cyprus,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Europe,Europe,Czechia,National,,Ambition,50% share of alternatively fuelled vehicles in the government (public) fleet (M1 and N1) by 2030.,LDV,2020
Europe,Europe,Czechia,National,,Legislation,"Exemption from registration fee and road tolls for BEV, FCEV, and HEVs with CO2 emissions less
than 50 grammes per km.",LDV,2020
Europe,Europe,Czechia,National,,Legislation,Funding available for government or municipal purchases of alternatively fuelled vehicles with 80% of funding for BEV/PHEV solutions.,Multiple,2017
Europe,Europe,Denmark,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Europe,Europe,Denmark,National,,Ambition,1 million passenger LDV stock to be ZEV by 2030.,LDV,2020
Europe,Europe,Denmark,National,,Legislation,Road tax for trucks will be based on CO2 emissions from 2025.,M/HDV,2022
Europe,Europe,Denmark,National,,Legislation,Additional financing available for charging stations for housing associations.,EVSE,2023
Europe,Europe,Denmark,National,,Legislation,Grants towards the purchase of a new electric or hydrogen truck.,M/HDV,2022
Europe,Europe,Denmark,National,,Legislation,"Reduced registration taxes for zero- and low-emission cars, increasing gradually from 2026 to 2035. Typically, 60% discount for BEVs, and 35-50% discount for PHEVs. Aiming to reach the same
registration tax as is seen on ICE.",LDV,2023
Europe,Europe,Denmark,National,,Legislation,"Tax reimbursement for BEV and a reduced rate for PHEVs when purchased as company cars from
2023-2026 and tax-free charging at work.",LDV,2023
Europe,Europe,Denmark,National,,Target,"Urban public transport to be emission-free from 2030, starting with new sales from 2020. 75% of
public buses will be low- or zero-emission by 2030.",Bus,2018
Europe,Europe,Denmark,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Dominican Republic,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022
Central and South America,Rest of the World,"Dominican
Republic",National,,Ambition,"5% of the private motorcycle fleet (plus 20% of the public sector fleet) to be electric by 2030; 35%
by 2050.",2/3W,2020
Central and South America,Rest of the World,Dominican Republic,National,,Ambition,EV owners pay only 50% of the new car sales VAT tax and the first license plate.,Taxation,2020
Central and South America,Rest of the World,"Dominican
Republic",National,,Ambition,"10% of the private car fleet being EVs by 2030; 70% by 2050 (10% and 50% for the light
commercial fleet).",LDV,2020
Central and South America,Rest of the World,Dominican Republic,National,,Ambition,"14 000 charging stations in 2030, 150 000 by 2050.",EVSE,2020
Central and South America,Rest of the World,"Dominican
Republic",National,,Ambition,"30% of the fleet to be electric by 2030, and 100% by 2050.",Bus,2020
Central and South America,Rest of the World,"Dominican
Republic",Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Ecuador,National,,Legislation,100% of new public transport fleet to be electric by 2025.,Bus,2019
Central and South America,Rest of the World,Ecuador,National,,Legislation,"Low and zero emission vehicles are exempt from VAT. They are also exempt of import taxes, along
with charging equipment.",Taxation,2021
Central and South America,Rest of the World,El Salvador,National,,Target,Scenarios include 7-20% EV sales penetration in 2030.,Multiple,2021
Central and South America,Rest of the World,El Salvador,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Africa,Rest of the World,Ethiopia,National,,Ambition,A ban on the import of non-EVs,Multiple,2024
Africa,Rest of the World,Ethiopia,National,,Legislation,"EVs are not subject to import duties if locally assembled, reduced rates apply for partially and fully
assembled imports. They are also exempt from VAT, surtax, and excise tax.",Taxation,2022
Europe,Europe,European Union,Supranational,,Proposal,"Euro 7 Regulations (provisional agreement) combine LDV and HDV regulations into one act, seeking a 35% and 13% reduction of NOx and tailpipe emissions respectively from LDVs and 56% and 39% from HDVs relative to Euro 6/VI. Introduces minimum durability standards for LDV batteries of 80% performance by year 5 (or 100 000 km), and 70% performance between years 5 and 8 (or 160 000 km), and also regulates emissions from tyres and brakes for the first time.",LDV,2022
Europe,Europe,"European
Union",Supranational,,Legislation,"The EU Battery Regulation aims to create a circular economy for the batteries sector by targeting
all stages of the life cycle of batteries, from design to waste treatment.",Manufacturing,2023
Europe,Europe,European Union,Supranational,,Legislation,"CO2 emission standards: 15% CO2 emission reduction for both new cars and vans by 2025 compared to 2021 levels, 55% for cars and 50% for vans reduction by 2030, 100% reduction by
2035.",LDV,2022
Europe,Europe,"European
Union",Supranational,,Target,"Clean Vehicles Directive: EV public procurement targets of 17.6% to 38.5% EV share of LDV sales
by 2025.",LDV,2019
Europe,Europe,European Union,Supranational,,Target,"Clean Vehicles Directive: Public procurement targets of 27% to 45% share of clean bus (M3) sales by 2026, and 33% to 65% by 2031, 50% of which must be ZEVs (or 25% if 80% or more of bus
purchases in that period are double-deckers).",Bus,2019
Europe,Europe,"European
Union",Supranational,,Proposal,"The EU Net Zero Industry Act aims to scale up manufacturing of clean technologies in the
European Union, including batteries.",Manufacturing,2023
Europe,Europe,"European
Union",Supranational,,Proposal,"Critical Raw Materials Act aims to reduce dependency on external suppliers of critical raw
materials, including those needed to manufacture batteries.",Manufacturing,2022
Europe,Europe,"European
Union",Supranational,,Target,"Clean Vehicles Directive: Public procurement targets of 6% to 10% share of clean HDV (N2 and N3)
sales by 2026, and 7% to 15% by 2031.",M/HDV,2019
Europe,Europe,"European
Union",Supranational,,Ambition,"1 million publicly accessible recharging points by 2025, and 3 million by 2030 (Sustainable and
Smart Mobility Strategy).",EVSE,2020
Europe,Europe,European Union,Supranational,,Proposal,"CO2 emission standards: Fleet average reductions of 45% by 2030, 65% by 2035 and 90% by 2040. All new city buses to be ZEV by 2035.",M/HDV,2024
Europe,Europe,"European
Union",Supranational,,Ambition,European Green Deal: 13 million low-emission passenger vehicles by 2025.,LDV,2019
Europe,Europe,European Union,Supranational,,Ambition,30 million passenger ZEV stock by 2030 and nearly all passenger LDV and HDV stock by 2050 (Sustainable and Smart Mobility Strategy).,LDV,2020
Europe,Europe,European Union,Supranational,,Legislation,"Alternative Fuels Infrastructure Regulation: with respect to electric vehicle charging infrastructure, the regulation sets targets to ensure minimum coverage of publicly accessible recharging points for both light- and heavy-duty vehicles. Coverage is ensured on the basis of maximum distance between recharging pools, minimum power output per charging pool and individual charger
power output.",EVSE,2023
Europe,Europe,Finland,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Europe,Europe,Finland,National,,Ambition,4 600 electric trucks by 2030.,M/HDV,2021
Europe,Europe,Finland,National,,Ambition,700 000 electric car and 45 000 electric van stock by 2030 (of which at least 50% are BEVs).,LDV,2021
Europe,Europe,Finland,National,,Legislation,Grants for EV cars ended in 2022; grants for electric LCVs have been extended to the end of 2024.,LDV,2022
Europe,Europe,Finland,National,,Legislation,Grant towards the purchase of an EV truck.,M/HDV,2021
Europe,Europe,Finland,National,,Legislation,Funding support for alternative fuel infrastructure including charging stations.,EVSE,2022
Europe,Europe,Finland,National,,Legislation,"Zero emission cars pay 0% import tax, and the lowest annual basic vehicle tax with additional
vehicle tax based on vehicle weight and a fuel multiplier.",LDV,2022
Europe,Europe,Finland,National,,Target,"At least 250 000 BEV, FCEV, and PHEVs by 2030.",Multiple,2020
Europe,Europe,Finland,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Europe,Europe,France,National,,Target,"100 000 public charging points by 2023, 7 million public and private charging points by 2030, and 100 hydrogen stations increasing to 400 to 1 000 by 2028.",EVSE,2020
Europe,Europe,France,National,,Ambition,"200 heavy commercial FCEV stock by 2023, and 800-2 000 heavy commercial FCEV stock by 2028.",M/HDV,2019
Europe,Europe,France,National,,Target,"21 000 low-emission HDVs by 2023, 65 000 by 2028.",M/HDV,2020
Europe,Europe,France,National,,Ambition,5 000 passenger and commercial LDV FCEV stock by 2023 and 20 000-50 000 by 2028.,LDV,2018
Europe,Europe,France,National,,Target,"660 000 EVs in 2023, 3 million by 2028; 500 000 PHEVs by 2023, 1.8 million by 2028; 170 000
EV/PHEV LCVs, 0.5 million by 2028.",LDV,2020
Europe,Europe,France,National,,Legislation,"At least 50% of public buses and coaches must be low-emissions, 100% from 2025. In large towns/cities, at least 50% of buses must be very low-emission from 2022.",Bus,2019
Europe,Europe,France,National,,Legislation,"At least 50% of public/state LDV renewals must be low-emission vehicles, rising to 70% from 2027. For local authorities, from 2026, 37.4% of all LDV renewals must be very low-emissions.",LDV,2019
Europe,Europe,France,National,,Legislation,End sale of new fossil fuel LDVs by 2040.,LDV,2019
Europe,Europe,France,National,,Target,"EUR 100 million dedicated to developing charging infrastructure, aiming to cover 75% of the main
road network with connections up to 5MW.",EVSE,2020
Europe,Europe,France,National,,Legislation,"EVs must meet a minimum environmental score based on production, assembly, battery, and
transport and logistics in order to qualify for French subsidies.",Multiple,2023
Europe,Europe,France,National,,Legislation,Subsidies of 30% of the cost of the installation of chargers that are made publicly available.,EVSE,2020
Europe,Europe,France,National,,Legislation,End sale of new passenger cars emitting more than 123 g CO2/km by 2030.,LDV,2021
Europe,Europe,France,National,,Legislation,"No new sales of new HDVs assigned to the transport of people or goods and using mainly fossil
fuels by 2040.",M/HDV,2021
Europe,Europe,France,National,,Target,"Reach 400 000 public charging points by 2030, including at least 50 000 with fast charging for a total of 8 GW of public charging capacity.",EVSE,2023
Europe,Europe,France,National,,Legislation,Grant of up to 40% of the cost of a new EV/FCEV truck.,M/HDV,2022
Europe,Europe,France,National,,Legislation,"Express deduction of 20-60% of the investment cost in alternatively fuelled trucks depending on
vehicle size.",M/HDV,2021
Europe,Europe,France,National,,Legislation,"In 2022, companies with over 100 LDVs must include at least 10% low-emissions vehicles in their
renewals, rising to 20% in 2024, 35% in 2027, and 50% by 2030 (Article 77).",LDV,2019
Europe,Europe,France,National,,Ambition,Produce 2 million electric and hybrid cars domestically by 2030.,LDV,2021
Europe,Europe,France,National,,Legislation,Tax relief available on the installation of a home charger.,EVSE,2020
Europe,Europe,France,National,,Legislation,"Grants towards the purchase of a new BEV/FCEV, as well as used EVs and retrofits, bonuses for
low-income individuals and/or when a vehicle is being scrapped.",LDV,2023
Europe,Europe,France,National,,Legislation,"Implementation of LEZs in metropolitan agglomerations of more than 150 000 inhabitants by 31 December 2024, and provision for interest-free EV purchase loans to low-income households living in these zones.",Multiple,2021
Europe,Europe,France,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Africa,Rest of the World,Gambia,National,,Target,"Promote low emission fuel and HEVs, introduce an age limit of a maximum of 3 years for imported
vehicles.",LDV,2022
Europe,Europe,Germany,National,,Target,Nationwide plan for a comprehensive charging network including 9 000 fast chargers at 1 000 locations.,EVSE,2021
Europe,Europe,Germany,National,,Ambition,Plan to have 15 million EVs on Germany roads by 2030,LDV,2019
Europe,Europe,Germany,National,,Target,"Approximately one-third of kilometres travelled to take place on the basis of electrical drives or
eFuels by 2030.",M/HDV,2022
Europe,Europe,Germany,National,,Legislation,"Tax incentives for commercial EVs, company cars, and company-facilitated EV charging.",Taxation,2019
Europe,Europe,Germany,National,,Legislation,"Motor tax exemption for EVs with less than 50g CO2/km emissions or at least 60km range (80km from 2025) until 2030. Privileges for electric cars on German roads, e.g. car parking and bus lane
use.",LDV,2012
Europe,Europe,Germany,Multi-national,,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.
Germany also specifically for 100% of all new or replacement vehicles to be environmentally friendly drive technologies by 2030, and by 2025 at least 50% of which will be electric drives.",LDV,2022
Africa,Rest of the World,Ghana,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2023
Africa,Rest of the World,Ghana,National,,Ambition,"4%, 16%, and 32% of public buses sold to be EVs in 2025, 2030, and 2050 respectively.",Bus,2022
Africa,Rest of the World,Ghana,National,,Ambition,"4%, 16%, and 32% of cars sold to be EVs in 2025, 2030, and 2050 respectively.",LDV,2022
Africa,Rest of the World,Ghana,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Europe,Europe,Greece,National,,Legislation,Ensure adequate charging facilities to meet EV targets.,EVSE,2022
Europe,Europe,Greece,National,,Legislation,"From 2024, 25% of new company cars to have emissions less than 50gCO2/km from 2024. 33% of
taxis and leased vehicles to be zero-emissions from 2026.",LDV,2022
Europe,Europe,Greece,National,,Proposal,50% of new registrations of passenger cars and 40% of new registrations of LCVs must be electric by 2030 (National Energy Climate Plan).,LDV,2024
Europe,Europe,Greece,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Europe,Europe,Holy See,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Honduras,National,,Proposal,"At least 50% EVs in the urban public transport sector for passengers and light cargo by 2030.
Announcement of possible adoption of ZEVs for mass public transport.",Bus,2022
Central and South America,Rest of the World,Honduras,National,,Proposal,"20% of the fleet being electric by 2050, and 100% zero or low emission vehicles for light vehicles
sales by 2050.",LDV,2023
Europe,Europe,Hungary,National,,Legislation,"BEVs and PHEVs with a range of over 25km are exempt from car tax, and partially exempt from company car and registration taxes.",LDV,2016
Europe,Europe,Hungary,National,,Legislation,"Funded programme that seeks to replace existing bus fleet with electric (BEV, FCEV, and trolley e-
bus) options and encourage local production.",Bus,2019
Europe,Europe,Hungary,National,,Legislation,"Grants towards the private and commercial purchase of a BEV, up to 55% of the purchase cost for taxis.",LDV,2020
Europe,Europe,Iceland,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2023
Europe,Europe,Iceland,National,,Target,"As of 2020, government entities will not purchase gasoline/petrol or diesel vehicles.",LDV,2020
Europe,Europe,Iceland,National,,Legislation,Additional funding will be provided to the Energy Fund in 2024.,Multiple,2023
Europe,Europe,Iceland,National,,Proposal,Ban sales of passenger petrol and diesel vehicles after 2030.,LDV,2020
Europe,Europe,Iceland,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",LDV,2022
Asia Pacific,Rest of the World,India,Subnational,West Bengal,Target,100 000 public and semi-public charging stations by 2026.,EVSE,2021
Asia Pacific,Rest of the World,India,Subnational,West Bengal,Ambition,1 million EVs in stock across all segments by 2030.,Multiple,2021
Asia Pacific,Rest of the World,India,Subnational,Uttar Pradesh,Target,1 000 electric buses in stock by 2030.,Bus,2019
Asia Pacific,Rest of the World,India,Subnational,Uttar Pradesh,Ambition,Roll out nearly 1 million EVs in stock across all segments of vehicles by 2024.,Multiple,2019
Asia Pacific,Rest of the World,India,Subnational,Tamil N?du,Target,30% of bus stock to be electric by 2030.,Bus,2023
Asia Pacific,Rest of the World,India,Subnational,Tamil N?du,Target,750 charging stations to be incentivised under the State EV policy.,EVSE,2023
Asia Pacific,Rest of the World,India,Subnational,Odisha,Ambition,BEVs to account for 20% of total vehicle sales by 2025.,Multiple,2021
Asia Pacific,Rest of the World,India,Subnational,Manipur,Ambition,15% of sales to be EV by 2025.,Multiple,2021
Asia Pacific,Rest of the World,India,Subnational,Maharashtra,Target,10% electric two-wheeler sales by 2025; 20% electric three-wheeler sales by 2025.,2/3W,2021
Asia Pacific,Rest of the World,India,Subnational,Maharashtra,Target,15% electric bus sales (25% in urban areas) by 2025.,Bus,2021
Asia Pacific,Rest of the World,India,Subnational,Maharashtra,Target,"5% electric 4W sales by 2025, 25% for electric fleet operators.",LDV,2021
Asia Pacific,Rest of the World,India,Subnational,Madhya Pradesh,Ambition,100% electric commercial and logistics fleet sales by 2028.,2/3W,2019
Asia Pacific,Rest of the World,India,Subnational,Madhya Pradesh,Target,100% electric bus sales by 2028.,Bus,2019
Asia Pacific,Rest of the World,India,Subnational,Kerala,Target,100% electric bus sales by 2025.,Bus,2019
Asia Pacific,Rest of the World,India,Subnational,Kerala,Ambition,1 million EVs in stock by 2030 across all segments,Multiple,2019
Asia Pacific,Rest of the World,India,Subnational,Karnataka,Target,Three-wheeler sales to achieve 100% electric mobility by 2030.,2/3W,2017
Asia Pacific,Rest of the World,India,Subnational,Karnataka,Target,"4W mini goods vehicles, cab aggregators, corporate fleets, and school buses/vans to achieve 100%
electric mobility by 2030 in sales.",LDV,2017
Asia Pacific,Rest of the World,India,Subnational,Gujarat,Target,"110 000 electric two-wheelers, 70 000 electric three-wheelers stock by 2025.",2/3W,2021
Asia Pacific,Rest of the World,India,Subnational,Gujarat,Target,20 000 4W EVs in stock by 2025.,LDV,2021
Asia Pacific,Rest of the World,India,Subnational,Goa,Legislation,"100% exemption from road tax and one-time registration fee for BEVs. Subsidy of 20-50% on fixed capital investment amount (variable as per industry size). Manufacturing units will receive an exemption on goods and services tax (tax payable on purchase of goods) and stamp duty (tax
payable on registration of properties).",Taxation,2021
Asia Pacific,Rest of the World,India,Subnational,Delhi,Ambition,25% share of EVs in sales by 2024.,Multiple,2020
Asia Pacific,Rest of the World,India,Subnational,Assam,Target,"100 000 electric two-wheelers, 75 000 electric three-wheelers stock by 2026.",2/3W,2021
Asia Pacific,Rest of the World,India,Subnational,Assam,Target,100% electric buses sales by 2030.,Bus,2021
Asia Pacific,Rest of the World,India,Subnational,Assam,Target,BEVs to make up 25% of all vehicle registrations by 2026.,Multiple,2021
Asia Pacific,Rest of the World,India,Subnational,Assam,Target,100% of government vehicles to be converted to EVs by 2030.,Multiple,2021
Asia Pacific,Rest of the World,India,Subnational,Assam,Target,25 000 electric 4Ws in stock by 2026.,LDV,2021
Asia Pacific,Rest of the World,India,Subnational,Andhra Pradesh,Target,100% electric bus sales by 2029.,Bus,2018
Asia Pacific,Rest of the World,India,National,,Target,"FAME II sets objective of 2 700 charging stations in cities with more than 1 million inhabitants. Proposal for establishment of charging stations on major highways, every 25 km on both sides of
the road.",EVSE,2019
Asia Pacific,Rest of the World,India,National,,Legislation,"FAME II extends subsidies for EV purchases.
1 000 000 2Ws, 500 000 3Ws, 35 000 4W BEVs, 20 000 4W HEV, 7 000 e-bus",Multiple,2019
Asia Pacific,Rest of the World,India,National,,Ambition,"If successful, FAME II and other measures could realise EV sales penetration of 30% of private cars, 70% of commercial cars, 40% of buses, and 80% of two and three-wheelers by 2030",Multiple,2019
Asia Pacific,Rest of the World,India,National,,Legislation,"Per kWh subsidy for electric two-wheeler increased to INR 15 000/kWh from earlier subsidy of
INR 10 000/kWh, with a 50% local content requirement.",2/3W,2019
Asia Pacific,Rest of the World,India,National,,Legislation,"Passenger vehicles older than 20 years and commercial vehicles older than 15 years must pass a “fitness and emissions test” to retain their registration;  incentives to scrap old vehicles, including discounts on the purchase of new vehicles against a scrappage certificate.",LDV,2021
Asia Pacific,Rest of the World,India,National,,Legislation,Production Linked Incentive (PLI) Scheme for Advanced Cell Chemistry manufacturing in India.,Manufacturing,2021
Asia Pacific,Rest of the World,India,National,,Legislation,Production Linked Incentive (PLI) Scheme for EV and EV component manufacturing.,Manufacturing,2021
Asia Pacific,Rest of the World,India,National,,Legislation,Funding for charging infrastructure.,EVSE,2023
Asia Pacific,Rest of the World,India,National,,Target,"National Electric Bus Programme - Ambitious National Electric Bus Program (NEBP) launched in
2022, aiming to deploy an additional 50 000 electric buses over 5 years.",Bus,2022
Asia Pacific,Rest of the World,India,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2021
Southeast Asia,Rest of the World,Indonesia,National,,Target,Indonesia sets aside USD 455 million to subsidise the sale of 1 million electric motorcycles.,2/3W,2023
Southeast Asia,Rest of the World,Indonesia,National,,Ambition,"Number of charging stations to reach 30 000 units and battery swap stations to reach 67 000 units
by 2030.",EVSE,2021
Southeast Asia,Rest of the World,Indonesia,National,,Legislation,"Tax incentive scheme to reduce the cost of electric LDVs and buses with shares of domestic
components.",Taxation,2022
Southeast Asia,Rest of the World,Indonesia,National,,Ambition,2 million passenger EV stock and 13 million electric motorcycle stock by 2030.,LDV,2021
Southeast Asia,Rest of the World,Indonesia,National,,Ambition,"Production targets of 10% of 1.5 million cars to be electric in 2020, 20% out of 2 million units in 2025, 25% out of 3 million in 2030 and 30% out of 4 million in 2035.",Manufacturing,2019
Southeast Asia,Rest of the World,Indonesia,National,,Ambition,"Production targets of 10% of 8 million two-wheeler units to be electric in 2020, 20% of 10 million
units in 2025, 25% of 12.5 million in 2030 and 30% of 15 million in 2035.",Manufacturing,2019
Southeast Asia,Rest of the World,Indonesia,National,,Legislation,Presidential instruction Indonesia requires government offices to procure and use EVs.,Multiple,2022
Europe,Europe,Ireland,Multi-national,,Target,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022
Europe,Europe,Ireland,National,,Target,"35% ZEV share of HDV registrations by 2030, with an interim target of 700 units by 2025.",M/HDV,2023
Europe,Europe,Ireland,National,,Legislation,"30% of stock, and 100% of sales passenger LDV sales to be EVs by 2030 (2023 reiteration of 100%
sales target and formalisation of 30% stock target, ca. 950 000).",LDV,2023
Europe,Europe,Ireland,National,,Target,"Various grants and funding schemes in place to support infrastructure development, aiming for at
least 11 HDV charging pools to be installed by 2025.",EVSE,2022
Europe,Europe,Ireland,National,,Legislation,"Grants equal to 40-60% of the price difference between the diesel equivalent and the BEV, PHEV,
or FCEV model available for the purchase of HDVs.",M/HDV,2021
Europe,Europe,Ireland,National,,Legislation,"Grants for BEV public service vehicles, including bonuses for the scrappage of older more polluting
vehicles with high mileage.",LDV,2022
Europe,Europe,Ireland,National,,Target,"No new diesel buses from 2019, ambition for all urban buses to be low emission by 2035, with 300
and 1 500 electric buses by 2025 and 2030 respectively.",Bus,2019
Europe,Europe,Ireland,National,,Legislation,"Reduced toll and motor tax for low emissions vehicles, Value Related Tax (VRT) relief, exemption from Benefit-in-Kind taxes, and Accelerated Capital Allowance.",LDV,2018
Europe,Europe,Ireland,National,,Legislation,Grants towards the purchase of passenger and LCV BEVs.,LDV,2022
Europe,Europe,Ireland,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",LDV,2022
Middle East,Rest of the World,Israel,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2023
Europe,Europe,Israel,National,,Ambition,"5% share of private vehicles sold in 2022 to be EVs, 23% by 2025 and 61% by 2028, with 100% to
be EVs by 2030.",LDV,2018
Europe,Europe,Israel,National,,Ambition,"Ban on all non-EV or non-CNG vehicles after 2030, leading to 1.4 million EV sales by 2030.",LDV,2018
Europe,Europe,Israel,National,,Legislation,"By 2025, all new municipal buses will be electric, with grants in place to help achieve this.",Bus,2020
Europe,Europe,Israel,National,,Target,"National Action Plan on Climate Change: Increase stock share of zero-emission urban buses to
50% by 2036 and 100% by 2050.",Bus,2021
Europe,Europe,Israel,National,,Target,"National Action Plan on Climate Change: Target to reduce average emissions from new LDVs by
95% by 2030 relative to 2020, and by 100% in 2050.",LDV,2021
Europe,Europe,Israel,Multi-national,,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Israel also specifically aims for all new government passenger vehicles from 2022 to be hybrid, and all
electric from 2025.",LDV,2022
Europe,Europe,Israel,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Europe,Europe,Italy,Subnational,Multiple,Legislation,"EVs and CNG/LPG cars are exempt from annual ownership tax for 5 years from purchase, and receive a 75% discount on this tax relative to petrol cars from purchase onwards, though exact benefits vary by region.",LDV,2014
Europe,Europe,Italy,National,,Legislation,"30% of the purchase price (up to EUR 3 000) for BEV and PHEV two/three-wheelers. Up to 40%
(EUR 4 000) if a Euro 0-3 bike is scrapped.",2/3W,2022
Europe,Europe,Italy,National,,Ambition,6 million passenger electric LDV stock (including 4 million BEVs by 2030).,LDV,2019
Europe,Europe,Italy,National,,Legislation,"85% share of EVs and hybrids in all public HDV purchases by 2030; 30% by 2022 and 50% by 2025
(includes methane and hydrogen in some cases).",M/HDV,2019
Europe,Europe,Italy,National,,Legislation,"85% share of EVs and hybrids in all public LDV by 2030; 30% by 2022 and 50% by 2025 (includes
methane and hydrogen in some cases).",LDV,2019
Europe,Europe,Italy,National,,Legislation,Grants available towards the purchase of EV trucks.,M/HDV,2022
Europe,Europe,Italy,National,,Legislation,Grants towards the purchase of electric LCVs.,LDV,2022
